player_display_name,position_group,current_team,projected_ppg,projected_games,projected_total,pos_rank
Malik Davis,RB,DAL,3.7,8.6,32,61
Keaton Mitchell,RB,BAL,5.0,6.4,32,62
Trey Benson,RB,ARI,4.0,8.1,32,63
Dylan Sampson,RB,CLE,3.8,8.4,32,64
Justice Hill,RB,BAL,4.0,7.6,31,65
Audric Estimé,RB,NO,4.4,7.0,31,66
Jaleel McLaughlin,RB,DEN,4.5,6.6,30,67
Ollie Gordon II,RB,MIA,3.3,8.7,29,68
Brashard Smith,RB,KC,3.0,8.8,27,69
Tyler Badie,RB,DEN,2.9,9.0,26,70
Cam Skattebo,RB,NYG,4.3,6.0,26,71
Bam Knight,RB,ARI,3.6,6.9,25,72
Bhayshul Tuten,RB,JAX,3.6,7.0,25,73
Ray Davis,RB,BUF,2.6,9.4,24,74
Miles Sanders,RB,DAL,3.5,6.5,23,75
Samaje Perine,RB,CIN,4.3,5.0,22,76
Chris Brooks,RB,,2.5,8.3,21,78
Ameer Abdullah,RB,IND,3.1,6.5,20,79
Emari Demercado,RB,ARI,3.2,6.2,20,81
Kyle Juszczyk,RB,SF,2.3,8.1,19,82
Trevor Etienne,RB,CAR,2.0,9.1,18,83
Jerome Ford,RB,CLE,3.1,5.5,17,84
Devin Neal,RB,NO,2.6,6.6,17,85
Raheim Sanders,RB,CLE,3.3,5.3,17,86
LeQuint Allen Jr.,RB,JAX,1.6,9.4,15,88
Jaret Patterson,RB,LAC,3.0,4.7,14,89
Braelon Allen,RB,NYJ,3.7,3.7,14,90
Cam Akers,RB,SEA,2.8,4.4,13,91
Zavier Scott,RB,MIN,2.1,6.1,13,92
Kendre Miller,RB,NO,3.3,4.0,13,93
Will Shipley,RB,PHI,1.3,9.8,13,94
Terrell Jennings,RB,NE,2.5,5.2,13,95
Antonio Gibson,RB,NE,3.2,3.4,11,97
Khalil Herbert,RB,NYJ,2.2,5.0,11,98
Roschon Johnson,RB,CHI,2.0,5.3,11,99
Dylan Laube,RB,LV,1.3,8.4,11,100
Hunter Luepke,RB,DAL,1.6,6.4,10,102
Jacob Saylors,RB,DET,1.6,6.6,10,103
Ty Chandler,RB,MIN,2.4,3.9,9,105
Rasheen Ali,RB,BAL,1.3,7.3,9,106
Corey Kiner,RB,ARI,2.1,4.4,9,107
Zamir White,RB,LV,1.8,4.3,8,108
DJ Giddens,RB,IND,2.5,3.2,8,109
Dare Ogunbowale,RB,HOU,1.4,4.9,7,110
Tahj Brooks,RB,CIN,1.6,4.7,7,112
Nyheim Hines,RB,NO,1.5,4.2,6,113
D'Ernest Johnson,RB,NE,1.9,3.3,6,114
Nate Carter,RB,ATL,3.2,1.9,6,117
Alec Ingold,RB,MIA,0.8,6.0,5,118
Trayveon Williams,RB,CLE,0.7,6.2,5,119
Julius Chestnut,RB,TEN,0.7,6.8,5,120
Jaydon Blue,RB,DAL,2.3,1.9,5,122
C.J. Ham,RB,MIN,0.8,4.7,4,123
Andrew Beck,RB,NYJ,0.9,4.8,4,124
Dameon Pierce,RB,KC,1.1,3.9,4,129
Ronnie Rivers,RB,LA,0.9,4.1,4,130
Hassan Haskins,RB,LAC,0.7,5.4,4,131
Sione Vaki,RB,DET,0.7,5.2,4,132
British Brooks,RB,HOU,0.7,5.2,4,133
Kalel Mullings,RB,TEN,0.8,4.7,4,134
Velus Jones Jr.,RB,SEA,1.0,3.3,3,135
Eric Gray,RB,NYG,0.9,3.2,3,136
Brady Russell,RB,SEA,0.5,5.1,3,138
Kaleb Johnson,RB,,0.7,4.7,3,140
Patrick Ricard,RB,BAL,0.6,3.9,2,142
Travis Homer,RB,CHI,0.4,4.4,2,143
Tyler Goodson,RB,IND,0.5,4.3,2,145
George Holani,RB,SEA,0.3,3.9,1,150
Josh Williams,RB,,0.9,1.0,1,152
Reggie Gilliam,RB,BUF,-0.1,5.8,0,153
Kene Nwangwu,RB,NYJ,0.0,4.4,0,154
Evan Hull,RB,NO,0.2,2.3,0,155
Adam Prentice,RB,DEN,-0.5,5.8,-3,156
