# WARNING: MOCK/SYNTHETIC ADP — not real espn platform data
adp_rank,player_name,position,team,adp,projected_total
49,Justin Jefferson,WR,MIN,48.8,171
50,Davante Adams,WR,LA,48.8,164
51,Kenneth Walker III,RB,SEA,48.9,171
52,Brock Purdy,QB,SF,50.0,176
53,Emeka Egbuka,WR,TB,50.9,167
54,DK Metcalf,WR,PIT,51.0,169
55,Omarion Hampton,RB,LAC,54.0,158
56,Chris Godwin Jr.,WR,TB,54.9,157
57,DeVonta Smith,WR,PHI,56.9,177
58,Anthony Richardson,QB,IND,57.4,155
59,Brian Thomas Jr.,WR,JAX,58.4,170
60,Zach Charbonnet,RB,SEA,59.9,154
61,Stefon Diggs,WR,NE,60.1,157
62,Marvin Harrison Jr.,WR,ARI,61.3,164
63,RJ Harvey,RB,DEN,61.4,156
64,Rome Odunze,WR,CHI,63.9,144
65,Bijan Robinson,RB,ATL,64.0,151
66,D'Andre Swift,RB,CHI,66.5,153
67,Ladd McConkey,WR,LAC,67.6,153
68,Javonte Williams,RB,DAL,68.0,145
69,Quentin Johnston,WR,LAC,68.1,151
70,Jordan Addison,WR,MIN,68.8,152
71,Wan'Dale Robinson,WR,NYG,69.5,161
72,Deebo Samuel Sr.,WR,WAS,70.6,140
73,Alec Pierce,WR,IND,73.5,151
74,DJ Moore,WR,CHI,74.5,139
75,David Montgomery,RB,DET,74.9,143
76,Garrett Wilson,WR,NYJ,75.3,137
77,Kenneth Gainwell,RB,PIT,75.7,136
78,Kyle Pitts,TE,ATL,75.8,153
79,Quinshon Judkins,RB,CLE,76.6,149
80,George Kittle,TE,SF,78.7,149
81,Jordan Love,QB,GB,79.2,131
82,Jake Ferguson,TE,DAL,81.8,129
83,Cam Skattebo,RB,NYG,85.0,136
84,Dalton Kincaid,TE,BUF,85.6,136
85,Terry McLaurin,WR,WAS,88.0,133
86,Hunter Henry,TE,NE,89.9,138
87,Jayden Higgins,WR,HOU,90.8,137
88,Luther Burden III,WR,CHI,91.5,128
89,Drew Lock,QB,SEA,92.5,125
90,Sam LaPorta,TE,DET,93.1,130
91,Colston Loveland,TE,CHI,93.2,131
92,Travis Kelce,TE,KC,93.4,138
93,Jaylen Warren,RB,PIT,96.6,123
94,Dallas Goedert,TE,PHI,99.8,130
95,Kyler Murray,QB,ARI,99.9,119
96,Tony Pollard,RB,TEN,100.0,124
97,Courtland Sutton,WR,DEN,101.5,122
98,Keenan Allen,WR,LAC,101.8,121
99,Cade Otton,TE,TB,102.2,129
100,Bucky Irving,RB,TB,103.8,125
101,Jakobi Meyers,WR,JAX,104.1,124
102,Michael Pittman,WR,,104.3,134
103,Michael Wilson,WR,ARI,104.7,116
104,Tyler Warren,TE,IND,105.1,129
105,Tre Tucker,WR,LV,105.5,120
106,Rachaad White,RB,TB,106.5,112
107,Khalil Shakir,WR,BUF,106.8,125
108,Aaron Rodgers,QB,PIT,107.2,115
109,Mike Evans,WR,,108.1,125
110,Woody Marks,RB,HOU,111.6,114
111,Jacory Croskey-Merritt,RB,WAS,112.5,116
112,Tucker Kraft,TE,GB,113.0,116
113,Romeo Doubs,WR,GB,113.7,119
114,James Conner,RB,ARI,115.1,115
115,Kyle Monangai,RB,CHI,115.3,116
116,Parker Washington,WR,JAX,116.8,114
117,Tyler Shough,QB,NO,119.2,112
118,Jayden Reed,WR,GB,121.7,110
119,Chimere Dike,WR,TEN,122.7,116
120,Tyrone Tracy Jr.,RB,NYG,123.3,103
121,Mark Andrews,TE,BAL,123.4,109
122,Jerry Jeudy,WR,CLE,123.4,122
123,Christian Watson,WR,GB,123.5,112
124,Jauan Jennings,WR,SF,123.9,115
125,Justin Fields,QB,NYJ,125.3,103
126,Kyle Williams,WR,,125.6,101
127,Tyreek Hill,WR,MIA,126.2,103
128,Keon Coleman,WR,BUF,127.0,112
129,Mason Rudolph,QB,PIT,127.5,99
130,Tyler Allgeier,RB,ATL,127.6,104
131,Mac Jones,QB,SF,130.5,110
132,Rhamondre Stevenson,RB,NE,131.2,110
133,Kareem Hunt,RB,KC,131.6,110
134,Oronde Gadsden II,TE,LAC,132.4,108
135,Juwan Johnson,TE,NO,133.0,104
136,Dalton Schultz,TE,HOU,134.3,108
137,AJ Barner,TE,SEA,134.7,102
138,Chuba Hubbard,RB,CAR,137.0,97
139,Jaylin Noel,WR,HOU,138.5,94
140,Zach Wilson,QB,MIA,139.0,96
141,Blake Corum,RB,LA,139.3,99
142,Isaiah Davis,RB,NYJ,139.6,103
143,Elic Ayomanor,WR,TEN,140.3,105
144,J.J. McCarthy,QB,MIN,142.3,100
145,J.K. Dobbins,RB,DEN,143.3,96
146,Matthew Golden,WR,GB,144.1,97
147,Kimani Vidal,RB,LAC,144.6,92
148,Rico Dowdle,RB,CAR,145.5,97
149,Carson Wentz,QB,MIN,147.5,102
150,Quinn Ewers,QB,MIA,148.9,92
151,Jacoby Brissett,QB,ARI,150.2,91
152,Gardner Minshew,QB,KC,151.6,90
153,Thomas Fidone II,TE,NYG,151.6,94
154,Chig Okonkwo,TE,TEN,151.8,92
155,Devin Singletary,RB,NYG,152.5,95
156,Kayshon Boutte,WR,NE,152.9,94
157,Zach Ertz,TE,WAS,154.8,94
158,Najee Harris,RB,LAC,157.1,93
159,Shedeur Sanders,QB,CLE,158.9,92
160,Tre Harris,WR,LAC,161.0,89
161,Jimmy Garoppolo,QB,LA,163.9,81
162,Brashard Smith,RB,KC,164.3,89
163,Adonai Mitchell,WR,NYJ,164.3,91
164,Jalen Royals,WR,KC,164.5,95
165,Brenton Strange,TE,JAX,165.5,88
166,Nick Chubb,RB,HOU,165.8,82
167,Terrance Ferguson,TE,LA,166.3,85
168,Adam Thielen,WR,PIT,168.7,84
169,Marvin Mims Jr.,WR,DEN,169.0,85
170,Pat Bryant,WR,DEN,169.0,87
171,Isaac TeSlaa,WR,DET,169.6,90
172,Bhayshul Tuten,RB,JAX,170.1,87
173,Andy Dalton,QB,CAR,170.7,79
174,Josh Downs,WR,IND,170.8,85
175,Cole Kmet,TE,CHI,171.8,78
176,Xavier Legette,WR,CAR,172.5,82
177,Mason Taylor,TE,NYJ,175.7,82
178,Dillon Gabriel,QB,CLE,176.0,83
179,Brian Robinson,RB,SF,177.5,82
180,Michael Penix Jr.,QB,ATL,178.4,77
181,Malik Washington,WR,MIA,180.0,81
182,Calvin Ridley,WR,TEN,180.9,82
183,Pat Freiermuth,TE,PIT,181.1,82
184,Austin Ekeler,RB,WAS,184.3,74
185,Dylan Sampson,RB,CLE,185.2,80
186,DeMario Douglas,WR,NE,186.0,79
187,Joe Flacco,QB,CIN,187.1,80
188,Jameis Winston,QB,NYG,188.0,79
189,Kirk Cousins,QB,ATL,188.5,75
190,Trey Benson,RB,ARI,189.9,79
191,Kenny Pickett,QB,LV,190.0,81
192,Evan Engram,TE,DEN,190.5,74
193,Aaron Jones,RB,,192.9,84
194,Jaylen Wright,RB,MIA,193.2,73
195,Joshua Dobbs,QB,NE,195.1,74
196,Travis Hunter,WR,JAX,195.1,77
197,Jalen Coker,WR,CAR,196.1,76
198,Samaje Perine,RB,CIN,196.7,69
199,Tez Johnson,WR,TB,197.4,78
200,Braelon Allen,RB,NYJ,197.9,72
201,Tank Bigsby,RB,PHI,199.6,74
202,Mike Gesicki,TE,CIN,201.4,70
203,Ja'Tavion Sanders,TE,CAR,201.8,75
204,Darnell Mooney,WR,ATL,201.9,76
205,Andrei Iosivas,WR,CIN,203.6,69
206,Ollie Gordon II,RB,MIA,204.2,71
207,Tory Horton,WR,SEA,205.7,71
208,Moliki Matavao,TE,NO,206.9,70
209,Colby Parkinson,TE,LA,209.9,66
210,Cooper Kupp,WR,SEA,210.5,69
211,Xavier Hutchinson,WR,HOU,212.2,68
212,Emanuel Wilson,RB,GB,213.5,69
213,Nate Carter,RB,ATL,216.5,72
214,Tyjae Spears,RB,TEN,217.3,69
215,Devin Neal,RB,NO,217.4,70
216,Isaiah Likely,TE,BAL,217.4,68
217,Noah Fant,TE,CIN,218.8,69
218,Josh Palmer,WR,BUF,219.7,66
219,Darren Waller,TE,MIA,220.7,68
220,Jaydon Blue,RB,DAL,221.1,65
221,DeAndre Hopkins,WR,BAL,223.0,66
222,Michael Carter,RB,ARI,224.2,63
223,Ameer Abdullah,RB,IND,225.1,63
224,Jake Tonges,TE,SF,225.3,66
225,Tim Patrick,WR,JAX,225.4,63
226,Jalen McMillan,WR,TB,226.0,68
227,Jordan Mason,RB,MIN,226.5,63
228,Audric Estimé,RB,NO,228.6,66
229,Jonnu Smith,TE,PIT,229.1,64
230,JuJu Smith-Schuster,WR,KC,231.5,67
231,Theo Wease Jr.,WR,MIA,232.7,64
232,Ricky Pearsall,WR,SF,233.8,62
233,Tahj Washington,WR,MIA,233.9,61
234,Tyrell Shavers,WR,BUF,234.5,65
235,Riley Leonard,QB,IND,234.9,63
236,Demarcus Robinson,WR,SF,236.8,60
237,Malik Willis,QB,GB,237.8,58
238,Marquise Brown,WR,KC,237.9,64
239,Dawson Knox,TE,BUF,238.7,62
240,Calvin Austin III,WR,PIT,240.2,62
241,Darnell Washington,TE,PIT,242.0,62
242,Devaughn Vele,WR,NO,242.4,60
243,Luke McCaffrey,WR,WAS,243.0,64
244,Mitchell Trubisky,QB,BUF,245.7,58
245,Isaiah Bond,WR,CLE,245.8,62
246,Antonio Gibson,RB,NE,246.8,60
247,Sean Tucker,RB,TB,248.1,58
248,Raheim Sanders,RB,CLE,248.9,60
249,Van Jefferson,WR,TEN,249.8,60
250,Michael Mayer,TE,LV,250.2,59
251,Ryan Flournoy,WR,DAL,251.6,58
252,Jaleel McLaughlin,RB,DEN,251.7,57
253,Elijah Higgins,TE,ARI,253.3,55
254,Austin Hooper,TE,NE,253.7,57
255,DJ Giddens,RB,IND,254.2,59
256,Jalen Nailor,WR,MIN,254.5,59
257,Kendrick Bourne,WR,SF,255.2,57
258,Jaylin Lane,WR,WAS,256.4,57
259,Josh Oliver,TE,MIN,258.6,53
260,Jeremy McNichols,RB,WAS,258.8,55
261,Devin Culp,TE,TB,261.1,57
262,Teddy Bridgewater,QB,TB,261.3,56
263,Jaret Patterson,RB,LAC,262.7,55
264,Ray Davis,RB,BUF,267.5,54
265,Jalen Tolbert,WR,DAL,268.4,57
266,Luke Schoonmaker,TE,DAL,268.5,54
267,Kendre Miller,RB,NO,270.4,52
268,Darius Slayton,WR,NYG,270.7,55
269,Jack Bech,WR,LV,270.8,56
270,Adrian Martinez,QB,,270.8,49
271,Tyler Huntley,QB,BAL,273.0,53
272,Trey Lance,QB,LAC,273.4,54
273,Davis Mills,QB,HOU,273.5,52
274,Chris Rodriguez Jr.,RB,WAS,273.9,50
275,Tanner McKee,QB,PHI,275.0,50
276,Mack Hollins,WR,NE,275.4,54
277,Ronnie Bell,WR,NO,275.5,55
278,Keaton Mitchell,RB,BAL,275.5,52
279,Justice Hill,RB,BAL,277.6,52
280,Jerome Ford,RB,CLE,278.1,53
281,Taysom Hill,TE,NO,279.4,50
282,Mitchell Evans,TE,CAR,280.0,51
283,Kalel Mullings,RB,TEN,280.2,51
284,Kyle Allen,QB,DET,282.8,49
285,Josh Johnson,QB,,284.6,48
286,Daniel Bellinger,TE,NYG,286.9,49
287,Jared Wiley,TE,KC,288.7,51
288,Jackson Hawes,TE,BUF,289.8,48
289,Tyler Lockett,WR,LV,290.1,47
290,Malachi Corley,WR,CLE,290.7,48
291,LaJohntay Wester,WR,BAL,290.9,49
292,Jacoby Jones,WR,,291.5,43
293,Kaleb Johnson,RB,,291.8,50
294,Rashid Shaheed,WR,SEA,292.7,52
295,Gabe Davis,WR,BUF,293.5,48
296,Nick Westbrook-Ikhine,WR,MIA,293.7,50
297,Roschon Johnson,RB,CHI,296.5,48
298,Tyler Higbee,TE,LA,297.1,45
299,Zay Jones,WR,ARI,298.2,48
300,Travis Vokolek,TE,ARI,299.0,48
301,John Metchie III,WR,NYJ,299.6,48
302,Cedrick Wilson Jr.,WR,MIA,303.3,45
303,Will Dissly,TE,LAC,305.1,45
304,Elijah Arroyo,TE,SEA,305.3,45
305,Isaiah Hodgins,WR,NYG,306.0,44
306,Jordan Whittington,WR,LA,306.5,43
307,Olamide Zaccheaus,WR,CHI,306.8,44
308,Kalif Raymond,WR,DET,307.6,40
309,Josh Reynolds,WR,NYJ,308.0,43
310,Isaiah Williams,WR,,308.7,40
311,Shane Zylstra,TE,DET,309.4,47
312,Tommy Tremble,TE,CAR,309.8,47
313,Nyheim Hines,RB,NO,310.3,46
314,Noah Gray,TE,KC,313.0,45
315,KaVontae Turpin,WR,DAL,314.5,45
316,Miles Sanders,RB,DAL,319.2,42
317,Kyle Juszczyk,RB,SF,321.8,41
318,Jarrett Stidham,QB,DEN,322.6,42
319,Brandin Cooks,WR,BUF,323.3,41
320,Konata Mumpfield,WR,LA,323.8,39
321,Eric Gray,RB,NYG,325.7,41
322,Kedon Slovis,QB,ARI,325.9,40
323,Emari Demercado,RB,ARI,326.2,41
324,Davis Allen,TE,LA,326.4,41
325,Noah Brown,WR,WAS,326.9,38
326,Corey Kiner,RB,ARI,327.8,40
327,Sal Cannella,TE,CLE,329.2,40
328,Cam Akers,RB,SEA,330.1,39
329,Tyson Bagent,QB,CHI,330.6,37
330,Jimmy Horn Jr.,WR,CAR,331.1,41
331,Cedric Tillman,WR,,332.4,44
332,Malik Davis,RB,DAL,333.7,39
333,Devontez Walker,WR,BAL,334.7,38
334,Terrell Jennings,RB,NE,335.5,38
335,Adam Trautman,TE,DEN,335.9,38
336,Jalen Brooks,WR,ARI,336.0,38
337,D'Ernest Johnson,RB,NE,336.4,37
338,Curtis Samuel,WR,BUF,336.9,36
339,Devin Duvernay,WR,CHI,336.9,40
340,Savion Williams,WR,GB,338.1,38
341,Elijah Moore,WR,DEN,340.3,37
342,Nikola Kalinic,TE,CHI,341.5,37
343,Zavier Scott,RB,MIN,342.2,36
344,Ke'Shawn Williams,WR,CIN,342.8,38
345,Shedrick Jackson,WR,LV,344.4,36
346,Trevor Etienne,RB,CAR,344.9,38
347,Chris Moore,WR,WAS,345.3,36
348,Josh Williams,RB,,347.4,34
349,Luke Musgrave,TE,GB,347.6,38
350,Greg Dortch,WR,ARI,347.8,35
351,LeQuint Allen Jr.,RB,JAX,349.6,35
352,John Bates,TE,WAS,350.8,36
353,Bam Knight,RB,ARI,352.3,36
354,Tyler Badie,RB,DEN,352.5,36
355,Brock Wright,TE,DET,352.6,35
356,Marquez Valdes-Scantling,WR,PIT,353.7,36
357,Jeremy Ruckert,TE,NYJ,353.8,34
358,Charlie Kolar,TE,BAL,355.9,36
359,Greg Dulcich,TE,MIA,356.6,33
360,Ben Sinnott,TE,WAS,358.3,36
361,Chris Oladokun,QB,KC,359.0,33
362,Christian Kirk,WR,HOU,359.7,34
363,Tylan Wallace,WR,BAL,361.8,32
364,Mitchell Tinsley,WR,CIN,364.0,33
365,Tip Reiman,TE,ARI,364.8,34
366,Nick Mullens,QB,JAX,366.7,33
367,Dont'e Thornton Jr.,WR,LV,367.9,33
368,Kevin Austin Jr.,WR,NO,368.3,34
369,River Cracraft,WR,WAS,369.4,34
370,Lil'Jordan Humphrey,WR,DEN,370.7,32
371,Tyquan Thornton,WR,KC,371.1,31
372,Cade Stover,TE,HOU,372.6,31
373,Drew Sample,TE,CIN,373.9,31
374,Tanner Hudson,TE,CIN,374.0,31
375,Gunner Olszewski,WR,NYG,374.0,31
376,Josh Whyle,TE,GB,374.3,32
377,Foster Moreau,TE,NO,375.9,33
378,Brady Cook,QB,NYJ,376.7,29
379,Ty Chandler,RB,MIN,376.9,32
380,Tai Felton,WR,MIN,377.6,31
381,Will Shipley,RB,PHI,379.5,30
382,Zamir White,RB,LV,381.8,30
383,Jonathan Mingo,WR,DAL,384.0,28
384,Nate Adkins,TE,DEN,384.6,29
385,KeAndre Lambert-Smith,WR,LAC,385.4,29
386,Cameron Latu,TE,PHI,387.1,27
387,Jahan Dotson,WR,PHI,388.0,31
388,Grant Calcaterra,TE,PHI,391.1,30
389,Hunter Luepke,RB,DAL,391.7,27
390,Dalen Cambre,WR,NYG,392.7,30
391,Ben Skowronek,WR,PIT,394.5,27
392,Mo Alie-Cox,TE,IND,394.9,28
393,Julian Hill,TE,MIA,395.0,27
394,Evan Hull,RB,NO,395.4,30
395,Ronnie Rivers,RB,LA,396.3,26
396,Skyy Moore,WR,SF,398.6,27
397,Cody White,WR,,399.7,23
398,Braxton Berrios,WR,HOU,402.8,26
399,Sione Vaki,RB,DET,404.2,27
400,Ian Thomas,TE,LV,404.7,27
401,Derius Davis,WR,LAC,405.4,23
402,Charlie Woerner,TE,ATL,406.6,25
403,John FitzPatrick,TE,GB,408.3,22
404,Jacob Saylors,RB,DET,408.5,25
405,Luke Farrell,TE,SF,408.7,26
406,David Sills,WR,ATL,409.7,26
407,Tyler Goodson,RB,IND,411.5,23
408,Justin Watson,WR,,411.6,26
409,Brayden Willis,TE,SF,412.1,23
410,Payne Durham,TE,TB,412.4,22
411,Kylen Granson,TE,PHI,413.5,25
412,Darius Cooper,WR,PHI,413.8,26
413,Dameon Pierce,RB,KC,415.1,25
414,Scott Miller,WR,,415.2,20
415,James Proche,WR,TEN,416.1,21
416,Arian Smith,WR,NYJ,417.5,23
417,Max Brosmer,QB,MIN,419.4,20
418,Beaux Collins,WR,NYG,420.9,22
419,Tahj Brooks,RB,CIN,421.2,25
420,Laquon Treadwell,WR,IND,422.8,20
421,Mecole Hardman,WR,BUF,425.8,23
422,Ben Sims,TE,MIN,426.1,23
423,Ashton Dulin,WR,IND,427.2,20
424,Johnny Mundt,TE,JAX,427.3,22
425,Carter Runyon,TE,LV,427.4,23
426,Velus Jones Jr.,RB,SEA,427.6,20
427,Tanner Conner,TE,NYG,428.1,22
428,Treylon Burks,WR,WAS,429.3,22
429,Harrison Bryant,TE,HOU,429.8,20
430,Stone Smartt,TE,NYJ,430.1,22
431,Chris Brooks,RB,,430.4,24
432,Dylan Drummond,WR,ATL,431.7,20
433,Joe Milton III,QB,DAL,436.7,22
434,Lucas Krull,TE,DEN,439.8,21
435,Jason Brownlee,WR,KC,440.5,20
