# WARNING: MOCK/SYNTHETIC ADP — not real consensus platform data
adp_rank,player_name,position,team,adp,projected_total
65,RJ Harvey,RB,DEN,67.9,156
66,Ladd McConkey,WR,LAC,68.6,153
67,Quentin Johnston,WR,LAC,68.7,151
68,Quinshon Judkins,RB,CLE,69.6,149
69,Travis Kelce,TE,KC,69.8,138
70,Alec Pierce,WR,IND,70.0,151
71,Javonte Williams,RB,DAL,70.3,145
72,Jordan Addison,WR,MIN,70.5,152
73,Bijan Robinson,RB,ATL,71.0,151
74,Rome Odunze,WR,CHI,71.6,144
75,Deebo Samuel Sr.,WR,WAS,73.5,140
76,George Kittle,TE,SF,73.9,149
77,DJ Moore,WR,CHI,75.6,139
78,Jayden Higgins,WR,HOU,76.2,137
79,Hunter Henry,TE,NE,76.8,138
80,Kenneth Gainwell,RB,PIT,77.2,136
81,David Montgomery,RB,DET,77.4,143
82,Kyle Pitts,TE,ATL,79.2,153
83,Garrett Wilson,WR,NYJ,80.4,137
84,Michael Pittman,WR,,81.7,134
85,Dalton Kincaid,TE,BUF,83.8,136
86,Cam Skattebo,RB,NYG,83.8,136
87,Jake Ferguson,TE,DAL,88.1,129
88,Jordan Love,QB,GB,88.3,131
89,Dallas Goedert,TE,PHI,89.6,130
90,Terry McLaurin,WR,WAS,89.8,133
91,Luther Burden III,WR,CHI,91.3,128
92,Keenan Allen,WR,LAC,92.2,121
93,Sam LaPorta,TE,DET,92.6,130
94,Cade Otton,TE,TB,95.7,129
95,Tyler Warren,TE,IND,95.8,129
96,Bucky Irving,RB,TB,98.8,125
97,Colston Loveland,TE,CHI,99.4,131
98,Khalil Shakir,WR,BUF,99.8,125
99,Jerry Jeudy,WR,CLE,101.6,122
100,Jakobi Meyers,WR,JAX,101.9,124
101,Jaylen Warren,RB,PIT,102.4,123
102,Tre Tucker,WR,LV,102.6,120
103,Courtland Sutton,WR,DEN,102.8,122
104,Mike Evans,WR,,104.4,125
105,Drew Lock,QB,SEA,104.4,125
106,Tony Pollard,RB,TEN,104.8,124
107,Kyler Murray,QB,ARI,106.7,119
108,Romeo Doubs,WR,GB,107.2,119
109,Tucker Kraft,TE,GB,107.9,116
110,Michael Wilson,WR,ARI,108.9,116
111,Jacory Croskey-Merritt,RB,WAS,110.1,116
112,Chimere Dike,WR,TEN,111.8,116
113,James Conner,RB,ARI,112.3,115
114,Jauan Jennings,WR,SF,113.9,115
115,Kyle Monangai,RB,CHI,114.0,116
116,Rachaad White,RB,TB,116.4,112
117,Christian Watson,WR,GB,116.5,112
118,Aaron Rodgers,QB,PIT,116.9,115
119,Parker Washington,WR,JAX,117.3,114
120,Jayden Reed,WR,GB,119.1,110
121,Keon Coleman,WR,BUF,119.4,112
122,Woody Marks,RB,HOU,119.9,114
123,Tyler Shough,QB,NO,123.1,112
124,Mac Jones,QB,SF,124.5,110
125,Rhamondre Stevenson,RB,NE,124.9,110
126,Mark Andrews,TE,BAL,126.8,109
127,Dalton Schultz,TE,HOU,128.1,108
128,Kareem Hunt,RB,KC,129.0,110
129,Tyler Allgeier,RB,ATL,129.4,104
130,Oronde Gadsden II,TE,LAC,130.2,108
131,Elic Ayomanor,WR,TEN,131.0,105
132,Juwan Johnson,TE,NO,131.8,104
133,Justin Fields,QB,NYJ,132.0,103
134,Tyrone Tracy Jr.,RB,NYG,134.3,103
135,Isaiah Davis,RB,NYJ,134.8,103
136,J.K. Dobbins,RB,DEN,137.2,96
137,J.J. McCarthy,QB,MIN,137.2,100
138,Blake Corum,RB,LA,138.2,99
139,Carson Wentz,QB,MIN,140.3,102
140,Tyreek Hill,WR,MIA,141.5,103
141,Chuba Hubbard,RB,CAR,142.1,97
142,Zach Ertz,TE,WAS,142.5,94
143,Mason Rudolph,QB,PIT,142.9,99
144,Kayshon Boutte,WR,NE,145.1,94
145,AJ Barner,TE,SEA,146.1,102
146,Rico Dowdle,RB,CAR,146.3,97
147,Jalen Royals,WR,KC,147.2,95
148,Zach Wilson,QB,MIA,147.7,96
149,Kyle Williams,WR,,148.6,101
150,Najee Harris,RB,LAC,150.0,93
151,Matthew Golden,WR,GB,150.7,97
152,Devin Singletary,RB,NYG,151.7,95
153,Adonai Mitchell,WR,NYJ,151.7,91
154,Chig Okonkwo,TE,TEN,153.0,92
155,Jaylin Noel,WR,HOU,154.2,94
156,Thomas Fidone II,TE,NYG,155.4,94
157,Brashard Smith,RB,KC,155.6,89
158,Isaac TeSlaa,WR,DET,156.4,90
159,Quinn Ewers,QB,MIA,156.9,92
160,Shedeur Sanders,QB,CLE,157.3,92
161,Pat Bryant,WR,DEN,159.6,87
162,Gardner Minshew,QB,KC,160.4,90
163,Bhayshul Tuten,RB,JAX,160.7,87
164,Jacoby Brissett,QB,ARI,161.0,91
165,Brenton Strange,TE,JAX,164.5,88
166,Tre Harris,WR,LAC,165.7,89
167,Terrance Ferguson,TE,LA,166.3,85
168,Kimani Vidal,RB,LAC,167.8,92
169,Josh Downs,WR,IND,168.1,85
170,Dillon Gabriel,QB,CLE,169.2,83
171,Adam Thielen,WR,PIT,172.3,84
172,Marvin Mims Jr.,WR,DEN,174.2,85
173,Nick Chubb,RB,HOU,174.3,82
174,Brian Robinson,RB,SF,175.3,82
175,Xavier Legette,WR,CAR,175.4,82
176,Aaron Jones,RB,,175.9,84
177,Malik Washington,WR,MIA,176.8,81
178,Calvin Ridley,WR,TEN,179.3,82
179,Jimmy Garoppolo,QB,LA,181.2,81
180,Mason Taylor,TE,NYJ,181.8,82
181,Joe Flacco,QB,CIN,182.2,80
182,Kenny Pickett,QB,LV,183.7,81
183,Darnell Mooney,WR,ATL,183.7,76
184,DeMario Douglas,WR,NE,183.8,79
185,Pat Freiermuth,TE,PIT,183.9,82
186,Dylan Sampson,RB,CLE,185.9,80
187,Tez Johnson,WR,TB,186.8,78
188,Jameis Winston,QB,NYG,187.7,79
189,Michael Penix Jr.,QB,ATL,187.7,77
190,Andy Dalton,QB,CAR,190.6,79
191,Travis Hunter,WR,JAX,191.5,77
192,Kirk Cousins,QB,ATL,193.7,75
193,Jalen Coker,WR,CAR,194.0,76
194,Cole Kmet,TE,CHI,194.7,78
195,Evan Engram,TE,DEN,195.6,74
196,Trey Benson,RB,ARI,196.5,79
197,Joshua Dobbs,QB,NE,197.3,74
198,Braelon Allen,RB,NYJ,201.9,72
199,Nate Carter,RB,ATL,202.1,72
200,Austin Ekeler,RB,WAS,202.4,74
201,Isaiah Likely,TE,BAL,202.6,68
202,Ja'Tavion Sanders,TE,CAR,204.7,75
203,Tank Bigsby,RB,PHI,206.0,74
204,Jaylen Wright,RB,MIA,206.0,73
205,Samaje Perine,RB,CIN,207.8,69
206,Noah Fant,TE,CIN,207.9,69
207,Cooper Kupp,WR,SEA,208.3,69
208,Tyjae Spears,RB,TEN,208.7,69
209,Devin Neal,RB,NO,209.2,70
210,Andrei Iosivas,WR,CIN,209.6,69
211,Mike Gesicki,TE,CIN,210.4,70
212,Moliki Matavao,TE,NO,211.2,70
213,Tory Horton,WR,SEA,212.8,71
214,Darren Waller,TE,MIA,213.4,68
215,Ollie Gordon II,RB,MIA,214.1,71
216,Colby Parkinson,TE,LA,215.0,66
217,Emanuel Wilson,RB,GB,215.8,69
218,Audric Estimé,RB,NO,216.4,66
219,DeAndre Hopkins,WR,BAL,216.9,66
220,Xavier Hutchinson,WR,HOU,219.1,68
221,Marquise Brown,WR,KC,219.8,64
222,Jalen McMillan,WR,TB,220.3,68
223,JuJu Smith-Schuster,WR,KC,221.5,67
224,Theo Wease Jr.,WR,MIA,223.1,64
225,Jake Tonges,TE,SF,223.2,66
226,Josh Palmer,WR,BUF,224.6,66
227,Tim Patrick,WR,JAX,224.7,63
228,Michael Carter,RB,ARI,226.4,63
229,Jaydon Blue,RB,DAL,227.6,65
230,Ameer Abdullah,RB,IND,228.3,63
231,Tyrell Shavers,WR,BUF,228.4,65
232,Luke McCaffrey,WR,WAS,229.6,64
233,Jonnu Smith,TE,PIT,231.7,64
234,Riley Leonard,QB,IND,232.8,63
235,Dawson Knox,TE,BUF,233.3,62
236,Jordan Mason,RB,MIN,233.6,63
237,Tahj Washington,WR,MIA,236.2,61
238,Calvin Austin III,WR,PIT,236.7,62
239,Devaughn Vele,WR,NO,238.2,60
240,Antonio Gibson,RB,NE,239.0,60
241,Van Jefferson,WR,TEN,240.2,60
242,Isaiah Bond,WR,CLE,240.5,62
243,Demarcus Robinson,WR,SF,240.7,60
244,Darnell Washington,TE,PIT,241.5,62
245,Ricky Pearsall,WR,SF,242.4,62
246,Michael Mayer,TE,LV,243.9,59
247,Jalen Nailor,WR,MIN,244.1,59
248,Malik Willis,QB,GB,245.4,58
249,Ryan Flournoy,WR,DAL,246.5,58
250,Kendrick Bourne,WR,SF,246.6,57
251,Raheim Sanders,RB,CLE,248.6,60
252,DJ Giddens,RB,IND,248.7,59
253,Mitchell Trubisky,QB,BUF,251.7,58
254,Sean Tucker,RB,TB,251.8,58
255,Jalen Tolbert,WR,DAL,253.3,57
256,Austin Hooper,TE,NE,254.4,57
257,Teddy Bridgewater,QB,TB,255.5,56
258,Jaylin Lane,WR,WAS,256.9,57
259,Ronnie Bell,WR,NO,257.1,55
260,Jack Bech,WR,LV,257.3,56
261,Tyler Huntley,QB,BAL,257.7,53
262,Devin Culp,TE,TB,258.7,57
263,Jeremy McNichols,RB,WAS,260.9,55
264,Jaleel McLaughlin,RB,DEN,261.0,57
265,Mack Hollins,WR,NE,263.3,54
266,Jaret Patterson,RB,LAC,265.1,55
267,Darius Slayton,WR,NYG,266.0,55
268,Jerome Ford,RB,CLE,266.6,53
269,Ray Davis,RB,BUF,267.3,54
270,Elijah Higgins,TE,ARI,267.6,55
271,Trey Lance,QB,LAC,269.6,54
272,Luke Schoonmaker,TE,DAL,269.6,54
273,Davis Mills,QB,HOU,270.3,52
274,Kendre Miller,RB,NO,271.5,52
275,Jared Wiley,TE,KC,273.1,51
276,Keaton Mitchell,RB,BAL,274.2,52
277,Josh Oliver,TE,MIN,274.6,53
278,Adrian Martinez,QB,,275.7,49
279,Kalel Mullings,RB,TEN,276.1,51
280,Rashid Shaheed,WR,SEA,276.7,52
281,Justice Hill,RB,BAL,277.3,52
282,Chris Rodriguez Jr.,RB,WAS,278.4,50
283,Kyle Allen,QB,DET,280.4,49
284,Mitchell Evans,TE,CAR,281.8,51
285,Josh Johnson,QB,,283.3,48
286,Taysom Hill,TE,NO,284.1,50
287,Tanner McKee,QB,PHI,285.3,50
288,Nick Westbrook-Ikhine,WR,MIA,285.6,50
289,John Metchie III,WR,NYJ,286.0,48
290,LaJohntay Wester,WR,BAL,286.4,49
291,Kaleb Johnson,RB,,286.9,50
292,Zay Jones,WR,ARI,288.5,48
293,Daniel Bellinger,TE,NYG,290.5,49
294,Gabe Davis,WR,BUF,291.9,48
295,Malachi Corley,WR,CLE,294.3,48
296,Jackson Hawes,TE,BUF,297.4,48
297,Tyler Lockett,WR,LV,300.5,47
298,Will Dissly,TE,LAC,300.6,45
299,Nyheim Hines,RB,NO,301.2,46
300,Roschon Johnson,RB,CHI,304.4,48
301,Travis Vokolek,TE,ARI,304.5,48
302,Cedrick Wilson Jr.,WR,MIA,305.4,45
303,Shane Zylstra,TE,DET,305.4,47
304,Tyler Higbee,TE,LA,305.6,45
305,Noah Gray,TE,KC,306.2,45
306,Elijah Arroyo,TE,SEA,307.7,45
307,Tommy Tremble,TE,CAR,308.1,47
308,Olamide Zaccheaus,WR,CHI,308.2,44
309,Brandin Cooks,WR,BUF,310.1,41
310,KaVontae Turpin,WR,DAL,310.9,45
311,Cedric Tillman,WR,,311.3,44
312,Josh Reynolds,WR,NYJ,311.9,43
313,Isaiah Hodgins,WR,NYG,313.0,44
314,Miles Sanders,RB,DAL,313.5,42
315,Jarrett Stidham,QB,DEN,313.9,42
316,Kedon Slovis,QB,ARI,314.3,40
317,Davis Allen,TE,LA,315.1,41
318,Jordan Whittington,WR,LA,315.6,43
319,Kalif Raymond,WR,DET,315.9,40
320,Kyle Juszczyk,RB,SF,318.3,41
321,Jacoby Jones,WR,,318.3,43
322,Jimmy Horn Jr.,WR,CAR,320.1,41
323,Eric Gray,RB,NYG,321.3,41
324,Sal Cannella,TE,CLE,322.9,40
325,Devin Duvernay,WR,CHI,325.0,40
326,Corey Kiner,RB,ARI,325.2,40
327,Emari Demercado,RB,ARI,325.8,41
328,Adam Trautman,TE,DEN,327.6,38
329,Cam Akers,RB,SEA,328.3,39
330,Malik Davis,RB,DAL,329.3,39
331,Konata Mumpfield,WR,LA,329.6,39
332,Noah Brown,WR,WAS,331.7,38
333,Isaiah Williams,WR,,335.5,40
334,Devontez Walker,WR,BAL,336.5,38
335,Trevor Etienne,RB,CAR,336.6,38
336,Savion Williams,WR,GB,337.3,38
337,Terrell Jennings,RB,NE,337.7,38
338,Jalen Brooks,WR,ARI,339.1,38
339,D'Ernest Johnson,RB,NE,339.4,37
340,Luke Musgrave,TE,GB,340.7,38
341,Ke'Shawn Williams,WR,CIN,341.6,38
342,Marquez Valdes-Scantling,WR,PIT,342.1,36
343,Elijah Moore,WR,DEN,344.8,37
344,Nikola Kalinic,TE,CHI,346.6,37
345,Curtis Samuel,WR,BUF,347.1,36
346,Tyler Badie,RB,DEN,347.4,36
347,Tyson Bagent,QB,CHI,347.7,37
348,John Bates,TE,WAS,350.2,36
349,Chris Moore,WR,WAS,352.1,36
350,Greg Dortch,WR,ARI,352.4,35
351,Charlie Kolar,TE,BAL,352.6,36
352,Zavier Scott,RB,MIN,352.8,36
353,Jeremy Ruckert,TE,NYJ,355.8,34
354,Shedrick Jackson,WR,LV,356.7,36
355,Bam Knight,RB,ARI,357.3,36
356,Ben Sinnott,TE,WAS,358.1,36
357,Brock Wright,TE,DET,358.1,35
358,Tip Reiman,TE,ARI,359.1,34
359,LeQuint Allen Jr.,RB,JAX,360.2,35
360,Nick Mullens,QB,JAX,360.8,33
361,Chris Oladokun,QB,KC,361.9,33
362,Greg Dulcich,TE,MIA,363.3,33
363,Tylan Wallace,WR,BAL,366.5,32
364,Kevin Austin Jr.,WR,NO,367.0,34
365,Josh Williams,RB,,367.4,34
366,River Cracraft,WR,WAS,367.5,34
367,Christian Kirk,WR,HOU,367.6,34
368,Jahan Dotson,WR,PHI,368.0,31
369,Lil'Jordan Humphrey,WR,DEN,369.6,32
370,Mitchell Tinsley,WR,CIN,370.1,33
371,Ty Chandler,RB,MIN,370.5,32
372,Foster Moreau,TE,NO,370.8,33
373,Josh Whyle,TE,GB,371.1,32
374,Drew Sample,TE,CIN,374.2,31
375,Dont'e Thornton Jr.,WR,LV,374.5,33
376,Tanner Hudson,TE,CIN,375.3,31
377,Cade Stover,TE,HOU,377.1,31
378,Grant Calcaterra,TE,PHI,378.5,30
379,Zamir White,RB,LV,379.1,30
380,Tyquan Thornton,WR,KC,379.9,31
381,Evan Hull,RB,NO,381.2,30
382,Gunner Olszewski,WR,NYG,381.5,31
383,Justin Watson,WR,,383.5,26
384,Tai Felton,WR,MIN,385.2,31
385,Jonathan Mingo,WR,DAL,386.2,28
386,Will Shipley,RB,PHI,386.6,30
387,KeAndre Lambert-Smith,WR,LAC,386.8,29
388,Nate Adkins,TE,DEN,386.8,29
389,Mo Alie-Cox,TE,IND,387.4,28
390,Ian Thomas,TE,LV,389.6,27
391,Ben Skowronek,WR,PIT,391.0,27
392,Dalen Cambre,WR,NYG,391.3,30
393,Skyy Moore,WR,SF,391.6,27
394,Julian Hill,TE,MIA,391.9,27
395,Hunter Luepke,RB,DAL,392.6,27
396,Brady Cook,QB,NYJ,393.7,29
397,Braxton Berrios,WR,HOU,399.0,26
398,David Sills,WR,ATL,399.2,26
399,Sione Vaki,RB,DET,399.6,27
400,Jacob Saylors,RB,DET,399.8,25
401,Luke Farrell,TE,SF,400.8,26
402,Tahj Brooks,RB,CIN,401.1,25
403,Cameron Latu,TE,PHI,401.6,27
404,Kylen Granson,TE,PHI,402.6,25
405,Darius Cooper,WR,PHI,404.7,26
406,Chris Brooks,RB,,407.0,24
407,Ronnie Rivers,RB,LA,407.9,26
408,Charlie Woerner,TE,ATL,408.9,25
409,Dameon Pierce,RB,KC,409.1,25
410,Tyler Goodson,RB,IND,409.6,23
411,Mecole Hardman,WR,BUF,410.1,23
412,Cody White,WR,,412.0,23
413,Ben Sims,TE,MIN,412.8,23
414,Derius Davis,WR,LAC,413.7,23
415,Payne Durham,TE,TB,414.4,22
416,Brayden Willis,TE,SF,415.6,23
417,Johnny Mundt,TE,JAX,417.9,22
418,Carter Runyon,TE,LV,418.3,23
419,Laquon Treadwell,WR,IND,419.9,20
420,Treylon Burks,WR,WAS,421.3,22
421,John FitzPatrick,TE,GB,423.2,22
422,Arian Smith,WR,NYJ,424.2,23
423,Stone Smartt,TE,NYJ,424.4,22
424,Tanner Conner,TE,NYG,424.7,22
425,Ashton Dulin,WR,IND,424.8,20
426,Velus Jones Jr.,RB,SEA,425.6,20
427,Joe Milton III,QB,DAL,426.8,22
428,Harrison Bryant,TE,HOU,429.1,20
429,James Proche,WR,TEN,429.1,21
430,Beaux Collins,WR,NYG,430.6,22
431,Max Brosmer,QB,MIN,432.0,20
432,Dylan Drummond,WR,ATL,432.4,20
433,Lucas Krull,TE,DEN,433.8,21
434,Scott Miller,WR,,434.1,20
435,Jason Brownlee,WR,KC,442.4,20
